Point_Index,DFCC_Chainage_Meters,DFCC_Chainage_Formatted,Relative_Distance_Meters,UTM_Zone,UTM_Easting,UTM_Northing,Latitude,Longitude
258,1078580.00,CH 1078+580,2580.00,43N,737228.288,3321848.918,30.00466114,77.45939227
259,1078590.00,CH 1078+590,2590.00,43N,737219.698,3321854.038,30.00470896,77.45930442
260,1078600.00,CH 1078+600,2600.00,43N,737211.108,3321859.157,30.00475679,77.45921657
261,1078610.00,CH 1078+610,2610.00,43N,737202.518,3321864.277,30.00480461,77.45912873
262,1078620.00,CH 1078+620,2620.00,43N,737193.928,3321869.396,30.00485243,77.45904088
263,1078630.00,CH 1078+630,2630.00,43N,737185.338,3321874.516,30.00490026,77.45895303
264,1078640.00,CH 1078+640,2640.00,43N,737176.748,3321879.636,30.00494808,77.45886518
265,1078650.00,CH 1078+650,2650.00,43N,737168.158,3321884.755,30.00499590,77.45877734
266,1078660.00,CH 1078+660,2660.00,43N,737159.567,3321889.875,30.00504373,77.45868949
267,1078670.00,CH 1078+670,2670.00,43N,737150.977,3321894.994,30.00509155,77.45860164
268,1078680.00,CH 1078+680,2680.00,43N,737142.387,3321900.114,30.00513937,77.45851379
269,1078690.00,CH 1078+690,2690.00,43N,737133.797,3321905.234,30.00518719,77.45842594
270,1078700.00,CH 1078+700,2700.00,43N,737125.207,3321910.353,30.00523502,77.45833809
271,1078710.00,CH 1078+710,2710.00,43N,737116.617,3321915.473,30.00528284,77.45825025
272,1078720.00,CH 1078+720,2720.00,43N,737108.027,3321920.592,30.00533066,77.45816240
273,1078730.00,CH 1078+730,2730.00,43N,737099.437,3321925.712,30.00537848,77.45807455
274,1078740.00,CH 1078+740,2740.00,43N,737090.847,3321930.832,30.00542631,77.45798670
275,1078750.00,CH 1078+750,2750.00,43N,737082.257,3321935.951,30.00547413,77.45789885
276,1078760.00,CH 1078+760,2760.00,43N,737073.667,3321941.071,30.00552195,77.45781100
277,1078770.00,CH 1078+770,2770.00,43N,737065.077,3321946.191,30.00556977,77.45772315
278,1078780.00,CH 1078+780,2780.00,43N,737056.486,3321951.310,30.00561760,77.45763530
279,1078790.00,CH 1078+790,2790.00,43N,737047.896,3321956.430,30.00566542,77.45754746
280,1078800.00,CH 1078+800,2800.00,43N,737039.306,3321961.549,30.00571324,77.45745961
281,1078810.00,CH 1078+810,2810.00,43N,737030.716,3321966.669,30.00576106,77.45737176
282,1078820.00,CH 1078+820,2820.00,43N,737022.126,3321971.789,30.00580889,77.45728391
283,1078830.00,CH 1078+830,2830.00,43N,737013.536,3321976.908,30.00585671,77.45719606
284,1078840.00,CH 1078+840,2840.00,43N,737004.946,3321982.028,30.00590453,77.45710821
285,1078850.00,CH 1078+850,2850.00,43N,736996.298,3321987.049,30.00595147,77.45701974
286,1078860.00,CH 1078+860,2860.00,43N,736987.621,3321992.020,30.00599797,77.45693096
287,1078870.00,CH 1078+870,2870.00,43N,736978.944,3321996.991,30.00604447,77.45684217
288,1078880.00,CH 1078+880,2880.00,43N,736970.267,3322001.961,30.00609096,77.45675339
